Trudeau,class
0.06400558139534884,DOWN
0.038816309012875555,UP
0.020748319327731087,DOWN
0.007248868778280546,DOWN
0.09011212121212127,DOWN
0.02984424778761063,DOWN
0.014313168724279807,DOWN
-0.05948425531914892,DOWN
0.057061135371179066,UP
0.07972403433476397,UP
0.0546111111111111,UP
-0.06450445544554455,UP
0.06725714285714289,DOWN
-0.002271311475409831,DOWN
0.007122077922077922,UP
0.07399618644067799,DOWN
0.036330901287553646,UP
0.06355225225225224,UP
0.058856034482758626,UP
0.08677066666666668,DOWN
0.05565866666666667,UP
-0.03006575342465752,DOWN
-0.017358064516129038,UP
-0.039901709401709395,UP
0.012736752136752153,UP
0.024284313725490208,DOWN
0.10729877049180327,DOWN
-0.08460512820512818,DOWN
0.1335524390243903,UP
0.06442266666666668,UP
0.037673600000000015,UP
-0.004124463519313307,UP
0.006292244897959181,UP
0.026882186234817806,DOWN
0.026208510638297867,DOWN
0.058925114155251146,UP
-0.04736610878661089,DOWN
-0.01746075949367087,UP
0.05746166666666668,UP
0.04611619433198381,DOWN
0.0896438596491227,DOWN
0.03150081632653061,DOWN
-0.016868442622950817,DOWN
-0.022859322033898285,DOWN
0.021002597402597408,UP
-0.06892369477911646,DOWN
0.02084765957446809,DOWN
0.020127600000000016,UP
0.05786974789915964,DOWN
0.009649557522123904,DOWN
0.045155042016806736,UP
0.1099948717948718,UP
0.03283377777777779,DOWN
0.05438033472803351,UP
0.06960044642857145,UP
-0.010925000000000002,UP
0.071832905982906,UP
0.02339449152542372,DOWN
-0.04017325102880659,UP
0.0765169642857143,DOWN
-0.03771447963800907,DOWN
0.0443259911894273,DOWN
0.007673191489361696,UP
0.0016624999999999973,UP
0.05698982300884956,UP
-0.006130516431924882,DOWN
-0.006351674641148306,DOWN
0.0297130890052356,DOWN
0.06158849557522121,UP
0.06630728155339805,UP
0.014751184834123236,DOWN
0.039955555555555564,DOWN
-0.06031610169491523,DOWN
0.0006165938864628821,UP
0.023689814814814827,UP
-0.08686457399103138,DOWN
0.0692564655172414,DOWN
0.012877083333333332,DOWN
0.03925486725663714,UP
0.02467314814814816,UP
0.025443842364532024,UP
0.08868309178743962,UP
-0.018440090090090098,DOWN
0.00846697674418604,DOWN
-0.07861509433962266,UP
-0.03173521126760563,DOWN
0.04041189189189188,UP
-0.023248768472906408,DOWN
0.023071563981042653,UP
-0.10188219178082189,UP
0.04507245762711863,DOWN
-0.030757727272727266,DOWN
-0.08773571428571424,UP
0.10467678571428571,UP
0.00725454545454547,DOWN
0.016975949367088603,DOWN
-0.08073966244725736,UP
-0.022212499999999996,UP
0.006780180180180174,DOWN
-0.003912162162162168,DOWN
-0.04124796380090497,UP
0.03085702479338843,DOWN
-0.03715296803652968,DOWN
0.07201315789473685,UP
0.05200189573459717,UP
0.03353150684931507,DOWN
0.14280132158590303,UP
0.02829683257918553,DOWN
-0.021313274336283192,UP
0.013129145728643215,UP
0.013313300492610846,DOWN
0.07772743362831856,DOWN
-0.04146192660550457,UP
-0.08145333333333334,UP
0.01195324675324676,DOWN
0.022343693693693673,DOWN
0.002172538860103638,UP
0.05109846153846154,UP
-0.03841631799163176,DOWN
0.08411052631578941,DOWN
-0.03486224489795917,DOWN
-0.06973649289099525,UP
0.056830769230769206,UP
0.04322835051546393,DOWN
0.06902455357142856,UP
0.06964218009478673,DOWN
-0.02328412017167381,UP
0.010087391304347828,UP
0.14702028985507246,UP
0.029438888888888883,DOWN
0.07453611111111108,UP
0.16208149779735687,DOWN
0.06732409638554215,DOWN
0.022534033613445387,UP
0.03334752475247526,DOWN
-0.02013196347031962,DOWN
0.03471181818181818,UP
-0.04617457627118645,DOWN
-0.0031296943231441375,UP
0.031427659574468116,UP
0.018033333333333318,DOWN
0.14072558139534888,UP
0.06249210526315785,UP
0.14844155844155843,UP
0.02013636363636364,DOWN
0.11911226415094334,DOWN
0.20366597938144326,DOWN
0.02678232558139535,UP
0.16790000000000008,DOWN
0.05327674418604651,DOWN
-0.0029800904977375572,DOWN
0.028972844827586226,DOWN
0.02447763157894737,DOWN
0.013043000000000013,DOWN
0.029556682027649762,UP
0.28100857142857144,UP
0.02228874999999999,DOWN
0.05873842794759822,DOWN
0.15101512605042017,DOWN
0.007570901639344255,UP
0.041035593220339,UP
0.07790331753554507,UP
0.044923829787234054,UP
0.05263433476394853,DOWN
0.07166506550218339,DOWN
0.007213924050632907,DOWN
0.04351913875598085,UP
-0.0006670886075949347,UP
0.04179653679653677,UP
0.033260829493087556,DOWN
0.021128691983122384,DOWN
-0.005730000000000016,UP
-0.04102743362831858,DOWN
-0.0063428571428571405,UP
0.0479938053097345,UP
0.03159029126213592,UP
0.10442843601895739,UP
0.005832388663967619,UP
0.050364406779660996,UP
0.02450515463917526,DOWN
0.14572987012987018,DOWN
0.07238333333333333,UP
0.12938620689655173,UP
0.1201,DOWN
0.07913070175438595,UP
0.04773004115226334,UP
0.08539707112970714,UP
0.06339830508474574,UP
0.09857136929460583,DOWN
0.018734615384615398,DOWN
0.05867594936708859,DOWN
0.02603917050691244,UP
0.02503096234309624,DOWN
-0.02889999999999999,UP
0.024558024691358024,UP
0.01964568965517243,DOWN
-0.060407786885245854,UP
0.05615047619047621,UP
0.02595208333333332,DOWN
0.01250599078341015,DOWN
0.02825407725321888,UP
0.0684105485232067,DOWN
0.09524978723404261,UP
0.004095901639344275,DOWN
0.06095585585585587,UP
0.04648278688524589,UP
0.03805022026431718,DOWN
-0.05762285714285714,UP
0.09473846153846151,UP
0.08154708333333333,UP
0.06234834710743801,UP
0.059877966101694935,DOWN
0.059910878661087845,UP
0.04872935779816509,DOWN
0.06979999999999999,UP
0.08784032921810699,UP
-0.028291150442477896,DOWN
-0.010599579831932783,UP
0.04294412955465589,UP
-0.026441626794258353,UP
-0.003897368421052631,DOWN
0.04608083333333333,UP
0.03828678414096916,UP
0.05080731707317074,UP
-0.04932307692307692,DOWN
-0.09682102803738316,UP
-0.0005660465116279004,UP
0.034748717948717936,DOWN
0.0023621739130434832,DOWN
0.0013025316455696333,UP
-0.004085775862068955,UP
0.039520168067226906,DOWN
0.027850630252100828,DOWN
-0.12275267857142849,UP
-0.14343428571428574,DOWN
-0.020053333333333336,UP
-0.051704878048780455,UP
-0.0005063380281689996,DOWN
0.0013245762711864356,UP
0.024819421487603292,DOWN
-0.007806329113924065,UP
0.011664593301435404,UP
0.038694273127753316,DOWN
-0.034257894736842105,DOWN
0.032066375545851525,UP
0.04470121951219512,UP
-0.004192399999999987,DOWN
0.13116913580246917,DOWN
0.042978048780487804,DOWN
0.05605198237885459,DOWN
0.023753271028037384,UP
0.1112793859649122,DOWN
0.14656288209606977,UP
0.053353061224489795,DOWN
0.027901209677419374,DOWN
-0.022876446280991718,DOWN
0.01393434343434344,UP
-0.017403508771929813,DOWN
0.004863596491228053,UP
0.03730555555555557,UP
-0.012047639484978532,UP
0.08373928571428571,DOWN
-0.005230416666666658,UP
0.05329530516431924,UP
-0.008240740740740738,UP
-0.03875396825396823,UP
0.0450093896713615,DOWN
0.06486822429906543,UP
0.03204032258064516,UP
0.0508,UP
0.0497653846153846,UP
0.05366629213483149,UP
0.009477777777777772,DOWN
-0.08351463414634147,DOWN
0.0020718614718614773,UP
0.07787219917012446,DOWN
-0.06600079681274901,UP
0.1617906504065041,UP
0.003935742971887552,DOWN
-0.026523076923076917,UP
0.015255186721991696,UP
0.03550597609561756,UP
0.029169200000000013,DOWN
-0.0026075697211155385,UP
-0.034888211382113815,DOWN
0.009901234567901221,DOWN
0.15575200000000003,UP
0.09589707112970718,UP
0.010260444444444444,DOWN
0.0168201646090535,DOWN
0.04379585062240662,DOWN
0.008413333333333321,UP
-0.020609163346613567,UP
0.008753497942386832,DOWN
0.042472427983539084,DOWN
-0.019525409836065526,DOWN
0.08868257261410788,DOWN
0.07413919999999996,UP
0.00737848605577689,UP
-0.003776339285714286,DOWN
0.007979565217391306,DOWN
0.030963135593220344,DOWN
0.07246772908366529,UP
0.010120717131474067,UP
0.020416334661354583,DOWN
0.03535203252032521,UP
0.16170956175298806,UP
0.1899092105263159,DOWN
0.04866882591093116,DOWN
0.02923333333333333,DOWN
-0.0105331983805668,DOWN
0.024778947368421046,DOWN
0.2330878048780488,DOWN
