file,run,accuracy
complete.csv,0,0.47695852534562205
complete.csv,1,0.4866615463389657
complete.csv,2,0.48650793650793644
complete.csv,3,0.46756272401433685
complete.csv,4,0.5023297491039426
complete.csv,5,0.5247567844342038
complete.csv,6,0.4928571428571429
complete.csv,7,0.4911674347158218
complete.csv,8,0.5200460829493088
complete.csv,9,0.5038402457757297
complete.csv,10,0.4623399897593445
complete.csv,11,0.5104198668714798
complete.csv,12,0.5025089605734767
complete.csv,13,0.5150025601638504
complete.csv,14,0.4895545314900153
complete.csv,15,0.49592933947772655
complete.csv,16,0.5230670762928826
complete.csv,17,0.49441884280593956
complete.csv,18,0.5039682539682538
complete.csv,19,0.500742447516641
complete.csv,20,0.5023041474654377
complete.csv,21,0.5402457757296466
complete.csv,22,0.47862263184843823
complete.csv,23,0.4768305171530979
complete.csv,24,0.49751664106502813
complete.csv,25,0.5135432667690731
complete.csv,26,0.5247567844342038
complete.csv,27,0.4993087557603687
complete.csv,28,0.47368151561699945
complete.csv,29,0.5405273937532002
complete2019.csv,0,0.545866935483871
complete2019.csv,1,0.5462701612903226
complete2019.csv,2,0.4819556451612904
complete2019.csv,3,0.4791330645161289
complete2019.csv,4,0.4571572580645162
complete2019.csv,5,0.4477822580645162
complete2019.csv,6,0.4919354838709677
complete2019.csv,7,0.4726814516129032
complete2019.csv,8,0.5297379032258064
complete2019.csv,9,0.5946572580645161
complete2019.csv,10,0.5145161290322581
complete2019.csv,11,0.4248991935483871
complete2019.csv,12,0.5082661290322582
complete2019.csv,13,0.4246975806451613
complete2019.csv,14,0.5431451612903225
complete2019.csv,15,0.495866935483871
complete2019.csv,16,0.4954637096774194
complete2019.csv,17,0.5137096774193548
complete2019.csv,18,0.5595766129032258
complete2019.csv,19,0.5014112903225806
complete2019.csv,20,0.4951612903225807
complete2019.csv,21,0.55625
complete2019.csv,22,0.4724798387096774
complete2019.csv,23,0.5619959677419354
complete2019.csv,24,0.5017137096774194
complete2019.csv,25,0.520766129032258
complete2019.csv,26,0.4793346774193548
complete2019.csv,27,0.5277217741935484
complete2019.csv,28,0.4919354838709678
complete2019.csv,29,0.511391129032258
complete2020.csv,0,0.47237903225806444
complete2020.csv,1,0.5258064516129032
complete2020.csv,2,0.5152217741935484
complete2020.csv,3,0.5159274193548387
complete2020.csv,4,0.5189516129032258
complete2020.csv,5,0.5116935483870967
complete2020.csv,6,0.4940524193548386
complete2020.csv,7,0.5246975806451613
complete2020.csv,8,0.4553427419354839
complete2020.csv,9,0.5069556451612904
complete2020.csv,10,0.5257056451612903
complete2020.csv,11,0.4900201612903225
complete2020.csv,12,0.5254032258064516
complete2020.csv,13,0.46713709677419357
complete2020.csv,14,0.5153225806451613
complete2020.csv,15,0.5288306451612903
complete2020.csv,16,0.5286290322580645
complete2020.csv,17,0.5257056451612904
complete2020.csv,18,0.49385080645161283
complete2020.csv,19,0.43911290322580643
complete2020.csv,20,0.5160282258064516
complete2020.csv,21,0.46854838709677427
complete2020.csv,22,0.5064516129032257
complete2020.csv,23,0.5192540322580645
complete2020.csv,24,0.46562500000000007
complete2020.csv,25,0.5220766129032258
complete2020.csv,26,0.5257056451612904
complete2020.csv,27,0.484274193548387
complete2020.csv,28,0.5191532258064516
complete2020.csv,29,0.5253024193548386
NoTrudeau.csv,0,0.5468509984639016
NoTrudeau.csv,1,0.4943676395289298
NoTrudeau.csv,2,0.4447516641065028
NoTrudeau.csv,3,0.5007168458781361
NoTrudeau.csv,4,0.5581925243215565
NoTrudeau.csv,5,0.4929339477726574
NoTrudeau.csv,6,0.5025601638504865
NoTrudeau.csv,7,0.4719662058371735
NoTrudeau.csv,8,0.5344342037890424
NoTrudeau.csv,9,0.5520225294418843
NoTrudeau.csv,10,0.4482334869431643
NoTrudeau.csv,11,0.497542242703533
NoTrudeau.csv,12,0.5199692780337941
NoTrudeau.csv,13,0.5135688684075781
NoTrudeau.csv,14,0.5424475166410649
NoTrudeau.csv,15,0.5072452636968766
NoTrudeau.csv,16,0.475294418842806
NoTrudeau.csv,17,0.5170762928827445
NoTrudeau.csv,18,0.43072196620583714
NoTrudeau.csv,19,0.5421658986175115
NoTrudeau.csv,20,0.5070660522273425
NoTrudeau.csv,21,0.5292882744495648
NoTrudeau.csv,22,0.4718894009216591
NoTrudeau.csv,23,0.5069892473118279
NoTrudeau.csv,24,0.4512544802867383
NoTrudeau.csv,25,0.46886840757808496
NoTrudeau.csv,26,0.44185867895545317
NoTrudeau.csv,27,0.46080389144905276
NoTrudeau.csv,28,0.51036866359447
NoTrudeau.csv,29,0.4978494623655914
NoTrudeau2019.csv,0,0.4696572580645162
NoTrudeau2019.csv,1,0.523991935483871
NoTrudeau2019.csv,2,0.5431451612903225
NoTrudeau2019.csv,3,0.5018145161290322
NoTrudeau2019.csv,4,0.48276209677419357
NoTrudeau2019.csv,5,0.5049395161290322
NoTrudeau2019.csv,6,0.5141129032258065
NoTrudeau2019.csv,7,0.5596774193548388
NoTrudeau2019.csv,8,0.497883064516129
NoTrudeau2019.csv,9,0.5115927419354839
NoTrudeau2019.csv,10,0.5077620967741935
NoTrudeau2019.csv,11,0.5619959677419355
NoTrudeau2019.csv,12,0.4352822580645162
NoTrudeau2019.csv,13,0.4309475806451613
NoTrudeau2019.csv,14,0.5077620967741935
NoTrudeau2019.csv,15,0.5362903225806451
NoTrudeau2019.csv,16,0.5748991935483871
NoTrudeau2019.csv,17,0.4185483870967742
NoTrudeau2019.csv,18,0.4979838709677418
NoTrudeau2019.csv,19,0.4564516129032258
NoTrudeau2019.csv,20,0.5243951612903226
NoTrudeau2019.csv,21,0.4545362903225806
NoTrudeau2019.csv,22,0.4378024193548387
NoTrudeau2019.csv,23,0.4824596774193548
NoTrudeau2019.csv,24,0.45967741935483863
NoTrudeau2019.csv,25,0.5558467741935484
NoTrudeau2019.csv,26,0.5109879032258063
NoTrudeau2019.csv,27,0.5202620967741935
NoTrudeau2019.csv,28,0.513508064516129
NoTrudeau2019.csv,29,0.4222782258064516
NoTrudeau2020.csv,0,0.5131048387096774
NoTrudeau2020.csv,1,0.515625
NoTrudeau2020.csv,2,0.5128024193548386
NoTrudeau2020.csv,3,0.5670362903225806
NoTrudeau2020.csv,4,0.5037298387096774
NoTrudeau2020.csv,5,0.5509072580645162
NoTrudeau2020.csv,6,0.532258064516129
NoTrudeau2020.csv,7,0.4869959677419356
NoTrudeau2020.csv,8,0.509274193548387
NoTrudeau2020.csv,9,0.4803427419354838
NoTrudeau2020.csv,10,0.45574596774193543
NoTrudeau2020.csv,11,0.4834677419354838
NoTrudeau2020.csv,12,0.5221774193548386
NoTrudeau2020.csv,13,0.5380040322580646
NoTrudeau2020.csv,14,0.547883064516129
NoTrudeau2020.csv,15,0.5034274193548386
NoTrudeau2020.csv,16,0.5199596774193548
NoTrudeau2020.csv,17,0.5064516129032258
NoTrudeau2020.csv,18,0.48125
NoTrudeau2020.csv,19,0.5186491935483871
NoTrudeau2020.csv,20,0.5032258064516129
NoTrudeau2020.csv,21,0.475
NoTrudeau2020.csv,22,0.5319556451612903
NoTrudeau2020.csv,23,0.5057459677419354
NoTrudeau2020.csv,24,0.49052419354838717
NoTrudeau2020.csv,25,0.5128024193548387
NoTrudeau2020.csv,26,0.496875
NoTrudeau2020.csv,27,0.5288306451612902
NoTrudeau2020.csv,28,0.49677419354838703
NoTrudeau2020.csv,29,0.5383064516129032
NoTrump.csv,0,0.5452124935995903
NoTrump.csv,1,0.5020993343573988
NoTrump.csv,2,0.45924219150025597
NoTrump.csv,3,0.4990783410138248
NoTrump.csv,4,0.5261648745519713
NoTrump.csv,5,0.5039426523297491
NoTrump.csv,6,0.4863799283154121
NoTrump.csv,7,0.5009216589861751
NoTrump.csv,8,0.4895289298515104
NoTrump.csv,9,0.51036866359447
NoTrump.csv,10,0.5135688684075781
NoTrump.csv,11,0.45463389656938047
NoTrump.csv,12,0.5358934971838197
NoTrump.csv,13,0.4832309267793139
NoTrump.csv,14,0.5135944700460829
NoTrump.csv,15,0.47503840245775725
NoTrump.csv,16,0.502252944188428
NoTrump.csv,17,0.508678955453149
NoTrump.csv,18,0.4942908346134153
NoTrump.csv,19,0.5420378904249873
NoTrump.csv,20,0.4881464413722478
NoTrump.csv,21,0.5072708653353815
NoTrump.csv,22,0.5199436763952893
NoTrump.csv,23,0.4751408090117767
NoTrump.csv,24,0.4847926267281107
NoTrump.csv,25,0.49598054275473624
NoTrump.csv,26,0.5295186891961086
NoTrump.csv,27,0.47224782386072706
NoTrump.csv,28,0.4848438300051203
NoTrump.csv,29,0.4658218125960061
NoTrump2019.csv,0,0.5080645161290323
NoTrump2019.csv,1,0.5337701612903226
NoTrump2019.csv,2,0.5173387096774192
NoTrump2019.csv,3,0.523891129032258
NoTrump2019.csv,4,0.517540322580645
NoTrump2019.csv,5,0.5175403225806452
NoTrump2019.csv,6,0.5433467741935484
NoTrump2019.csv,7,0.5079637096774193
NoTrump2019.csv,8,0.4855846774193548
NoTrump2019.csv,9,0.5108870967741934
NoTrump2019.csv,10,0.49828629032258054
NoTrump2019.csv,11,0.5110887096774193
NoTrump2019.csv,12,0.4798387096774194
NoTrump2019.csv,13,0.517540322580645
NoTrump2019.csv,14,0.5239919354838708
NoTrump2019.csv,15,0.517641129032258
NoTrump2019.csv,16,0.5204637096774194
NoTrump2019.csv,17,0.485483870967742
NoTrump2019.csv,18,0.5079637096774194
NoTrump2019.csv,19,0.514415322580645
NoTrump2019.csv,20,0.517540322580645
NoTrump2019.csv,21,0.5206653225806452
NoTrump2019.csv,22,0.511290322580645
NoTrump2019.csv,23,0.4980846774193549
NoTrump2019.csv,24,0.5110887096774193
NoTrump2019.csv,25,0.5210685483870968
NoTrump2019.csv,26,0.5046370967741935
NoTrump2019.csv,27,0.5077620967741936
NoTrump2019.csv,28,0.4824596774193548
NoTrump2019.csv,29,0.530342741935484
NoTrump2020.csv,0,0.5064516129032258
NoTrump2020.csv,1,0.5064516129032258
NoTrump2020.csv,2,0.5064516129032258
NoTrump2020.csv,3,0.5064516129032258
NoTrump2020.csv,4,0.5064516129032258
NoTrump2020.csv,5,0.5064516129032258
NoTrump2020.csv,6,0.5064516129032258
NoTrump2020.csv,7,0.5064516129032258
NoTrump2020.csv,8,0.5064516129032258
NoTrump2020.csv,9,0.5064516129032258
NoTrump2020.csv,10,0.5064516129032258
NoTrump2020.csv,11,0.5064516129032258
NoTrump2020.csv,12,0.5064516129032258
NoTrump2020.csv,13,0.5064516129032258
NoTrump2020.csv,14,0.5064516129032258
NoTrump2020.csv,15,0.5064516129032258
NoTrump2020.csv,16,0.5064516129032258
NoTrump2020.csv,17,0.5064516129032258
NoTrump2020.csv,18,0.5064516129032258
NoTrump2020.csv,19,0.5064516129032258
NoTrump2020.csv,20,0.5064516129032258
NoTrump2020.csv,21,0.5064516129032258
NoTrump2020.csv,22,0.5064516129032258
NoTrump2020.csv,23,0.5064516129032258
NoTrump2020.csv,24,0.5064516129032258
NoTrump2020.csv,25,0.5064516129032258
NoTrump2020.csv,26,0.5064516129032258
NoTrump2020.csv,27,0.5064516129032258
NoTrump2020.csv,28,0.5064516129032258
NoTrump2020.csv,29,0.5064516129032258
onlyMoving.csv,0,0.5103942652329747
onlyMoving.csv,1,0.5103942652329747
onlyMoving.csv,2,0.5103942652329747
onlyMoving.csv,3,0.5103942652329747
onlyMoving.csv,4,0.5103942652329747
onlyMoving.csv,5,0.5103942652329747
onlyMoving.csv,6,0.5103942652329747
onlyMoving.csv,7,0.5103942652329747
onlyMoving.csv,8,0.5103942652329747
onlyMoving.csv,9,0.5103942652329747
onlyMoving.csv,10,0.5103942652329747
onlyMoving.csv,11,0.5103942652329747
onlyMoving.csv,12,0.5103942652329747
onlyMoving.csv,13,0.5103942652329747
onlyMoving.csv,14,0.5103942652329747
onlyMoving.csv,15,0.5103942652329747
onlyMoving.csv,16,0.5103942652329747
onlyMoving.csv,17,0.5103942652329747
onlyMoving.csv,18,0.5103942652329747
onlyMoving.csv,19,0.5103942652329747
onlyMoving.csv,20,0.5103942652329747
onlyMoving.csv,21,0.5103942652329747
onlyMoving.csv,22,0.5103942652329747
onlyMoving.csv,23,0.5103942652329747
onlyMoving.csv,24,0.5103942652329747
onlyMoving.csv,25,0.5103942652329747
onlyMoving.csv,26,0.5103942652329747
onlyMoving.csv,27,0.5103942652329747
onlyMoving.csv,28,0.5103942652329747
onlyMoving.csv,29,0.5103942652329747
onlyMoving2019.csv,0,0.517540322580645
onlyMoving2019.csv,1,0.517540322580645
onlyMoving2019.csv,2,0.517540322580645
onlyMoving2019.csv,3,0.517540322580645
onlyMoving2019.csv,4,0.517540322580645
onlyMoving2019.csv,5,0.517540322580645
onlyMoving2019.csv,6,0.517540322580645
onlyMoving2019.csv,7,0.517540322580645
onlyMoving2019.csv,8,0.517540322580645
onlyMoving2019.csv,9,0.517540322580645
onlyMoving2019.csv,10,0.517540322580645
onlyMoving2019.csv,11,0.517540322580645
onlyMoving2019.csv,12,0.517540322580645
onlyMoving2019.csv,13,0.517540322580645
onlyMoving2019.csv,14,0.517540322580645
onlyMoving2019.csv,15,0.517540322580645
onlyMoving2019.csv,16,0.517540322580645
onlyMoving2019.csv,17,0.517540322580645
onlyMoving2019.csv,18,0.517540322580645
onlyMoving2019.csv,19,0.517540322580645
onlyMoving2019.csv,20,0.517540322580645
onlyMoving2019.csv,21,0.517540322580645
onlyMoving2019.csv,22,0.517540322580645
onlyMoving2019.csv,23,0.517540322580645
onlyMoving2019.csv,24,0.517540322580645
onlyMoving2019.csv,25,0.517540322580645
onlyMoving2019.csv,26,0.517540322580645
onlyMoving2019.csv,27,0.517540322580645
onlyMoving2019.csv,28,0.517540322580645
onlyMoving2019.csv,29,0.517540322580645
onlyMoving2020.csv,0,0.5064516129032258
onlyMoving2020.csv,1,0.5064516129032258
onlyMoving2020.csv,2,0.5064516129032258
onlyMoving2020.csv,3,0.5064516129032258
onlyMoving2020.csv,4,0.5064516129032258
onlyMoving2020.csv,5,0.5064516129032258
onlyMoving2020.csv,6,0.5064516129032258
onlyMoving2020.csv,7,0.5064516129032258
onlyMoving2020.csv,8,0.5064516129032258
onlyMoving2020.csv,9,0.5064516129032258
onlyMoving2020.csv,10,0.5064516129032258
onlyMoving2020.csv,11,0.5064516129032258
onlyMoving2020.csv,12,0.5064516129032258
onlyMoving2020.csv,13,0.5064516129032258
onlyMoving2020.csv,14,0.5064516129032258
onlyMoving2020.csv,15,0.5064516129032258
onlyMoving2020.csv,16,0.5064516129032258
onlyMoving2020.csv,17,0.5064516129032258
onlyMoving2020.csv,18,0.5064516129032258
onlyMoving2020.csv,19,0.5064516129032258
onlyMoving2020.csv,20,0.5064516129032258
onlyMoving2020.csv,21,0.5064516129032258
onlyMoving2020.csv,22,0.5064516129032258
onlyMoving2020.csv,23,0.5064516129032258
onlyMoving2020.csv,24,0.5064516129032258
onlyMoving2020.csv,25,0.5064516129032258
onlyMoving2020.csv,26,0.5064516129032258
onlyMoving2020.csv,27,0.5064516129032258
onlyMoving2020.csv,28,0.5064516129032258
onlyMoving2020.csv,29,0.5064516129032258
